"WBIC","Year","Lake","age0cpe.mile","id","recruitment","GDD_wtr_5c","ice_off_julian_date","coef_var_30.60","mean.GDD","area.hectares","Conductance","mean.lmb.standardized"
"198100",2010,"SAWYER L",0,"198100 2010","0",2676.25267683142,94,0.293832458445595,2522.27713072553,72.80312997,198,0.730666645224232
"198100",2005,"SAWYER L",4.230769231,"198100 2005","0",2738.67290625629,102,0.25011394381977,2522.27713072553,72.80312997,198,0.730666645224232
"198100",2007,"SAWYER L",0.384615385,"198100 2007","0",2773.51671353232,93,0.128261532804488,2522.27713072553,72.80312997,198,0.730666645224232
"198100",2008,"SAWYER L",0.384615385,"198100 2008","0",2421.548624879,111,0.158688428198399,2522.27713072553,72.80312997,198,0.730666645224232
"198100",2003,"SAWYER L",0.192307692,"198100 2003","0",2486.3168844853,110,0.121353984428184,2522.27713072553,72.80312997,198,0.730666645224232
"198100",2004,"SAWYER L",0.5,"198100 2004","0",2407.00605727243,107,0.126267979744369,2522.27713072553,72.80312997,198,0.730666645224232
"198100",1996,"SAWYER L",6.976744186,"198100 1996","0",2152.62605182193,125,0.136905051366918,2522.27713072553,72.80312997,198,0.730666645224232
"376900",1991,"LILY L",61.17647059,"376900 1991","1",2430.29004820703,103,0.132162022640186,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",1997,"LILY L",61.17647059,"376900 1997","1",2176.00235975219,115,0.216713119620735,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",1992,"LILY L",37.45098039,"376900 1992","1",2096.64931042409,110,0.129807291055899,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",1995,"LILY L",4.117647059,"376900 1995","0",2330.26797791296,100,0.251465851858543,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",1996,"LILY L",0.784313725,"376900 1996","0",2064.12478416937,125,0.1357073288012,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2003,"LILY L",27.84313725,"376900 2003","1",2391.96891767611,111,0.130251768157286,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2004,"LILY L",1.568627451,"376900 2004","0",2299.12076166935,108,0.121883807072192,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2006,"LILY L",7.254901961,"376900 2006","0",2533.66656487752,101,0.284139882223723,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2007,"LILY L",2.745098039,"376900 2007","0",2678.81614755979,93,0.120447652985062,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2008,"LILY L",34.11764706,"376900 2008","1",2309.42136676124,112,0.154960582462365,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2009,"LILY L",1.176470588,"376900 2009","0",2154.62968563299,106,0.107394180953714,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2010,"LILY L",7.058823529,"376900 2010","0",2591.78395432303,94,0.299930406861161,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2011,"LILY L",77.05882353,"376900 2011","1",2439.6510509628,107,0.169155920306796,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2012,"LILY L",36.8627451,"376900 2012","1",2543.78470430264,84,0.208954880083135,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",1993,"LILY L",1.176470588,"376900 1993","0",2051.01995770679,114,0.15968657754908,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",1998,"LILY L",3.333333333,"376900 1998","0",2652.63886244593,97,0.103034482616842,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2001,"LILY L",33.52941176,"376900 2001","1",2440.95942807259,109,0.156146722667756,2369.10938786846,87.64554318,222,-1.33796111163679
"376900",2002,"LILY L",8.039215686,"376900 2002","0",2459.17309917592,104,0.287969476023246,2369.10938786846,87.64554318,222,-1.33796111163679
"377900",1994,"JUNGLE L",117.7272727,"377900 1994","1",2282.0449041448,105,0.128687976824464,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2005,"JUNGLE L",13.78787879,"377900 2005","1",2575.62343156972,101,0.235493089849418,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2006,"JUNGLE L",36.81818182,"377900 2006","1",2485.01641546432,100,0.315221943378618,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2007,"JUNGLE L",0.454545455,"377900 2007","0",2637.10397375853,92,0.116827665922448,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2004,"JUNGLE L",41.81818182,"377900 2004","1",2247.93176977575,107,0.132918679782834,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2009,"JUNGLE L",0,"377900 2009","0",2108.37714727779,105,0.121595716905778,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2010,"JUNGLE L",0,"377900 2010","0",2542.58374941016,93,0.33332363859642,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2011,"JUNGLE L",12.27272727,"377900 2011","1",2372.85788197496,105,0.171307971390076,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2008,"JUNGLE L",0,"377900 2008","0",2258.70364411773,111,0.171217602259908,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2013,"JUNGLE",0,"377900 2013","0",2383.23938743846,107,0.126604161918703,2393.64565394821,72.64690274,104.8,0.449555056996124
"377900",2012,"JUNGLE L",2.272727273,"377900 2012","0",2485.67464269116,83,0.234011684367068,2393.64565394821,72.64690274,104.8,0.449555056996124
